,Questões,Respostas certas,Numeros de acertos,Porcetagem,Componente
0,Questão 1,E,745.0,0.4364381956649092,Geral
1,Questão 2,C,415.0,0.24311657879320445,Geral
2,Questão 3,B,885.0,0.5184534270650264,Geral
3,Questão 4,B,606.0,0.35500878734622143,Geral
4,Questão 5,A,859.0,0.5032220269478618,Geral
5,Questão 6,A,970.0,0.5682483889865261,Geral
6,Questão 7,C,1104.0,0.6467486818980668,Geral
7,Questão 8,D,325.0,0.19039250146455772,Geral
8,Questão 9,X,,,Específico
9,Questão 10,E,749.0,0.43878148799062683,Específico
10,Questão 11,C,903.0,0.5289982425307557,Específico
11,Questão 12,B,463.0,0.27123608670181604,Específico
12,Questão 13,D,735.0,0.4305799648506151,Específico
13,Questão 14,C,1041.0,0.6098418277680141,Específico
14,Questão 15,D,1046.0,0.6127709431751611,Específico
15,Questão 16,A,375.0,0.21968365553602812,Específico
16,Questão 17,X,,,Específico
17,Questão 18,X,,,Específico
18,Questão 19,A,991.0,0.5805506736965437,Específico
19,Questão 20,B,673.0,0.3942589338019918,Específico
20,Questão 21,X,,,Específico
21,Questão 22,E,718.0,0.4206209724663152,Específico
22,Questão 23,B,1421.0,0.8324545987111892,Específico
23,Questão 24,B,453.0,0.26537785588752194,Específico
24,Questão 25,E,1046.0,0.6127709431751611,Específico
25,Questão 26,E,943.0,0.552431165787932,Específico
26,Questão 27,X,,,Específico
27,Questão 28,A,998.0,0.5846514352665495,Específico
28,Questão 29,D,762.0,0.44639718804920914,Específico
29,Questão 30,E,308.0,0.18043350908025776,Específico
30,Questão 31,A,447.0,0.2618629173989455,Específico
31,Questão 32,C,604.0,0.3538371411833626,Específico
32,Questão 33,Z,,,Específico
33,Questão 34,D,643.0,0.37668424135910955,Específico
34,Questão 35,D,626.0,0.3667252489748096,Específico
